codigo,aplicacion,instancia,ambienteSV,nombreSVHost,nombreSVOVM,ipV4
SI056,CHATBOT AGENTI,APE,PRODUCCIÓN,VSPDAPCHAPE03,VSPDAPCHAPE03,172.30.163.90
SI056,CHATBOT AGENTI,APE,PRODUCCIÓN,VSPDAPCHAPE04,VSPDAPCHAPE04,172.30.163.91
SI056,CHATBOT AGENTI,APE,PRODUCCIÓN,VSPDBDCHAPE01,VSPDBDCHAPE01,172.31.4.74
SI056,CHATBOT AGENTI,Chatbot Formación Profesional Presencial (EVA),PRODUCCIÓN,VSPDAPCHFORM01,VSPDAPCHFORM01,172.30.163.22
SI056,CHATBOT AGENTI,Chatbot Formación Profesional Presencial (EVA),PRODUCCIÓN,VSPDAPCHFORM02,VSPDAPCHFORM02,172.30.163.23
SI056,CHATBOT AGENTI,Chatbot Formación Profesional Presencial (EVA),PRODUCCIÓN,VSPDAPCHFORM03,VSPDAPCHFORM03,172.30.163.24
SI056,CHATBOT AGENTI,Chatbot Formación Profesional Presencial (EVA),PRODUCCIÓN,VSPDAPCHFORM04,VSPDAPCHFORM04,172.30.163.25
SI056,CHATBOT AGENTI,Chatbot Formación Profesional Presencial (EVA),PRODUCCIÓN,VSPDBDCHFORM01,VSPDBDCHFORM01,172.31.4.27
SI056,CHATBOT AGENTI,"Chatbot Formación Profesional Presencial (liz, EVA)",PREPRODUCCIÓN,VSPPAPCHFORM02,VSPPAPCHFORM02,172.30.164.23
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Isa),PREPRODUCCIÓN,VSPPAPCHATB01,QACHATBOTAPP01,172.29.33.233
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Isa),PREPRODUCCIÓN,VSPPAPCHATB02,QACHATBOTAPP02,172.29.33.142
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Liz),PREPRODUCCIÓN,VSPPBDCHBOT01,QACHATBOTSQL01,172.29.35.19
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Liz),PRODUCCIÓN,VSPDAPCHLIZ03,VSAGVILIZAPP01,172.29.19.115
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Liz),PRODUCCIÓN,VSPDAPCHLIZ04,VSAGVILIZAPP02,172.29.19.116
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Liz),PRODUCCIÓN,VSPDBDCHLIZ02,VSAGVILIZBD01,172.29.11.10
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Liz),PRODUCCIÓN,VSPDBDCHLIZ03,VSAGVILIZBD02,172.29.11.11
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Liz),PRODUCCIÓN,VSPDAPCHLIZ01,VSPDAPCHLIZ01,172.30.163.72
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Liz),PRODUCCIÓN,VSPDAPCHLIZ02,VSPDAPCHLIZ02,172.30.163.73
SI056,CHATBOT AGENTI,ChatBot Formación Profesional VIRTUAL (Liz),PRODUCCIÓN,VSPDBDCHLIZ01,VSPDBDCHLIZ01,172.31.4.66
